번호,책제목,작가,출판사
289,2학년 수학 동화,우리기획,예림당
290,2학년을 위한 우수동시,김종상,예림당
291,감상학습 2학년 교과서 동시,김종상,예림당
292,늦동이,안미란,예림당
293,아기 도깨비가 너무 심심해서,이동렬,예림당
294,앉은뱅이꽃의 비밀,이규희,예림당
295,엄마찾아 삼만리,아미치스,예림당
296,하늘을 나는 집,김병규,예림당
297,수학의 세계로 풍덩,임융융,예문당
298,공지영이 들려주는 성서 속 인물 이야기 아담,공지영,예문당
299,공지영이 들려주는 성서 속 인물 이야기 삼손,공지영,오픈 하우스
300,공지영이 들려주는 성서 속 인물 이야기 카인과 아벨,공지영,오픈하우스
301,공지영이 들려주는 성서속 인물이야기 야곱,공지영,오픈하우스
302,노아,공지영,오픈하우스
303,모세,공지영,오픈하우스
304,아브라함,공지영,오픈하우스
305,잔소리 해방의 날,A 노르덴,온누리
306,미나마타의 붉은 바다,하라다 마사즈미,우리 교육
307,2학년을 위한 동화,어린이도서연구회,우리교육
308,가로수 밑에 꽃다지가 피었어요,이태수,우리교육
309,또야 너구리가 기운 바지를 입었어요,권정생,우리교육
310,마법의 조막손,선천성사지장애부모회,우리교육
311,몰라쟁이 엄마,이태준,우리교육
312,바람도깨비,어린이도서연구회,우리교육
313,성난수염,마해송,우리교육
314,아이들 민속놀이 백가지,김종만,우리교육
315,외톨이 보쎄와 미오 왕자,아스트리드 린드그렌,우리교육
316,"잠자리 꽁꽁, 내 손 끝에 앉아라!",우메다 요시코,우리교육
317,장난꾸러기 코피트코,어린이도서 연구회,우리교육
318,초록 여우,어린이 도서 연구회,우리교육
319,토끼불알을 만진 노루,어린이 도서연구회,우리교육
320,두뇌체조 수학 퀴즈와 퍼즐 게임,TADASHI NAKAYAMA,우진출판
321,수학 퀴즈와 퍼즐 게임,TADASHI NAKAYAMA,우진출판
322,날개가 돋는다면,우리 오를레브,웅진 주니어
323,연습학교,김해동,웅진 주니어
324,북치는 곰과 이주홍 동화나라,이주홍,웅진닷컴
325,하늘까지 달려라,박문영,웅진닷컴
326,까막눈 삼디기,원유순,웅진주니어
327,나야 뭉치 도깨비야,서화숙,웅진주니어
328,나이팅게일,안데르센,웅진주니어
329,내 이빨 먹지마,이미옥,웅진주니어
330,넌 왕따가 아니야!,도리스 레허,웅진주니어
331,로켓을 타고 우주로,정창훈,웅진주니어
332,시소,티모 파르벨라,웅진주니어
333,아기소나무와 권정생 동화나라,권정생,웅진주니어
334,아버지의 커다란 장화,임길택 외 글,웅진주니어
335,처음가진열쇠,황선미,웅진주니어
336,초대받은 아이들,황선미,웅진주니어
337,검은소용돌이의비밀,한정영,유진
338,고양이사령관,한정영,유진
339,화석이 맺어 준 우정,맥밀란 교육연구소,을파소
340,동화 토지 1부 1권,박경리,이룸
341,동화 토지 1부 2권,박경리,이룸
342,동화 토지 1부 3권,박경리,이룸
343,동화 토지 1부 4권,박경리,이룸
344,동화 토지 1부 5권,박경리,이룸
345,동화 토지 1부 6권,박경리,이룸
346,동화 토지 1부 7권,박경리,이룸
347,동화 토지 1부 8권,박경리,이룸
348,언니 이건 비밀이야,성찬성,일과놀이
349,엄마 찾은 올챙이,한병곤,일과놀이
350,하늘나라의 장난꾸러기들,김항섭,일과놀이
351,해와 달은 왜 하늘에 살까,편집부,일과놀이
352,참대곰이 동물 백화점을 차렸어요,정태선,장백
353,내 짝꿍 최영대,채인선,재미마주
354,삼촌과 함께 자전거 여행,채인선,재미마주
355,벌렁코 하영이,아이사랑,조성자
356,꺼벙이 억수와 방울소리,윤수천,좋은책 어린이
357,꺼벙이 억수,윤수천,좋은책어린이
358,좁쌀영감 오병수,윤수천,좋은책어린이
359,책 먹는 여우,이상교,좋은책어린이
360,나의 바이올린,프란치스카 비어만,주니어 김영사
361,사막에서 만난 친구,베티나 오브레히트,주니어김영사
362,수학이 수군수군,류광수 역,주니어김영사
363,수학이 순식간에,리즈앳킨슨 외,주니어김영사
364,책 먹는 여우,프란치스카 비어만,주니어김영사
365,"화성에서 온 수학 탐험대1, 2",제인 태시,주니어김영사
366,방귀쟁이 뿌뿌,린쓰런,주니어랜덤
367,싸움 말리다 금화를 만든 왕,디미테르 잉키오브,주니어랜덤
368,짝꿍 바꿔 주세요!,노경실,주니어랜덤
369,하나님이 주신 아름다운 이웃,강윤정,주니어아가페
370,세상에서 가장소중한 보물은 나,나나쉰들러,중앙
371,세계가 놀란 발명 이야기,우리누리,중앙 M&B
372,"나라를 다스린 법, 백성을 위한 제도",우리누리,중앙M&B
373,새 친구가 이사 왔어요,레아 골드버그,중앙M&B
374,천냥짜리 거짓말,서정오,중앙M&B
375,내가 크면 어떻게 되나요?,조이스 던 바,중앙미디어
376,김정호,엄성기,중앙출판사
377,우주 왕복선을 탄 손수건,도 스피에,중앙출판사
378,2학년을 위한EQ동화,이상교,지경사
379,시튼 동물기,시튼,지경사
380,지구를 살리는 50가지 방법,,지구를 위한 모임
381,열려라 곤충나라,김정환,지성사
382,나는친구가좋아요,김충원,진선
383,봄?여름식물일기,김창원옮김,진선
384,상상력 만화 퀴즈,김충원,진선
385,식물재배도감,아리사와,진선
386,작은학교이야기,강재훈,진선
387,추리력 만화 퀴즈,김충원,진선
388,한이네동네이야기,강전희,진선
389,어린이를 위한 헛소동,로이스 버넷,찰리북
390,꼬리 잘린 생쥐,권영품,창비
391,감자,권태응,창작과비평사
392,개구쟁이 산복이,이문구,창작과비평사
393,기차 소리를 듣고 싶다,김용락,창작과비평사
394,꽃을 먹는 토끼,김녹촌,창작과비평사
395,너하고 안 놀아,원종찬,창작과비평사
396,새 하늘을 연 영웅들,정하섭,창작과비평사
397,학교에 간 개돌이,김옥,창작과비평사
398,한국 전래 동화집,이원수,창작과비평사
399,"한국전래동요1, 2",신경림,창작과비평사
400,한국전래동요집,신경림,창작과비평사
401,내 마음의 선물,"오토다,전경빈",창해
402,타조의 꿈,오정은,채운어린이
403,할머니와 친구가 될 순 없나요?,프랑크 비주,책그릇
404,공짜밥,박신식,책내음
405,개구리 논으로 오세요,여정은,천둥거인
406,그림자는 내 친구,박정선,천둥거인
407,나비를 따라 갔어요,김미혜,천둥거인
408,거울하나 저울 둘,류인익,청림출판사
409,강아지소동(일기쓰기),이부영외,청솔
410,책읽는것은싫어,이부영,청솔
411,까막나라에서 온 삽사리 (불개 이야기),정승각,초방책방
412,거미줄의 추억,넷 힐튼,크레용하우스
413,거짓말쟁이 천재,울프 스타르크,크레용하우스
414,내가 소중하대요,엘베 포르티스 데 이에로니미스,크레용하우스
415,라퐁텐 우화집,라퐁텐,크레용하우스
416,새 학년엔 멋있어질 거야!,베시 더히,크레용하우스
417,낮과 밤은 왜 달라?,로랑 사바티에,큰북작은북
418,몬티의 모험,율리아 뵈메,키즈엠
419,시가 말을 걸어요,정꿀별,토토북
420,개구쟁이 팬지,박명희,통큰세상
421,돈보기,소중애,통큰세상
422,돌고 도는 돈,부희령,통큰세상
423,돌이 모여 하나,양점열,통큰세상
424,봄을 파는 가게,최영희,통큰세상
425,뿔난 노루,손춘익,통큰세상
426,하늘나라 기차표,손수자,통큰세상
427,도서관이 정말 좋아요,마르타 아빌레스,파란자전거
428,숨쉬는 도시 꾸리찌바,안순혜,파란자전거
429,도서관 벌레와 도서관 벌레,김미애,파란정원
430,아빠가시고기의 아낌없는 새끼 사랑,고수산나,파랑새
431,오줌의 진실,수잔 E. 굿맨,파랑새
432,북한 어린이는 어떤 놀이를 할까요?,"이상배,최진희",파랑새어린이
433,할미꽃은 왜꼬부라,보물섬,푸른나라
434,개구리 선생님의 비밀,파울 판 론,푸른나무
435,생명의 저울,김경호,푸른나무
436,악어랑 함께 살 거야,파울 판 론,푸른나무
437,우리집은 냉장고,김정희,푸른나무
438,한국인물이야기,김용란,푸른나무
439,나보다 작은 형,임정진,푸른숲
440,열 살이면 세상을 알 만한 나이,노경실,푸른숲주니어
441,개들도 학교에 가고 싶다,임정진,푸른책들
442,도깨비는 심심하다,조장희,푸른책들
443,방귀스티커,최은옥,푸른책들
444,아기 개미오 꽃씨,조장희,푸른책들
445,자전거를 타는 물고기,안선모,푸른책들
446,지우개 따먹기 법칙,유순희,푸른책들
447,빨간부채 파란부채,최하림,풀빛
448,오빠의 누명을 벗기고 말테야,크리스티네 뇌스 틀링거,풀빛
449,전우치와 황금대들보,최하림,풀빛
450,부메랑 던지기,한인섭,프레스21
451,꽃이 날아가요,김병규,프뢰벨
452,친구 없이는 못살아,이재복,한겨레
453,황우양씨막막부인,김은하,한겨레
454,도요새 공주,김회경,한겨레 아이들
455,백두산 천지가 생겨난 이야기,박상률,한겨레아이들
456,"1,2학년 동시집",김종상,한국독서지도회
457,그림속의날개,김상삼,한국독서지도회
458,"글짓기 동산 1,2학년",심경석,한국독서지도회
459,떡볶이 반장,김상삼,한국독서지도회
460,벼락바위,권태문,한국독서지도회
461,별이 된 아이,김지도,한국독서지도회
462,소금집딸,김창종,한국독서지도회
463,아름다운 우리 예절,차원재,한국독서지도회
464,애꾸눈 물고기,권태문,한국독서지도회
465,어린이환경보호대,노경실,한국독서지도회
466,연설하는 캥거루,엄기원,한국독서지도회
467,예절바른 어린이,김완기,한국독서지도회
468,자랑스런 우리들,인성교육학회,한국독서지도회
469,호랑이가 된 아이,한국인성교육학회,한국독서지도회
470,동물 사진화보 숙제 도우미,어연 미디어,한국어린이교육연구원
471,저학년 과학 동화,"박헌호, 박유리",한국어린이교육연구원
472,"지구야, 힘들지",윤종근,한국어린이교육연구원
473,퀴즈 탐험 과학나라,M.Orii,한국어린이교육연구원
474,걸리버 여행기,조나단 스위프트,한국톨스토이
475,민수야 힘내!,아오키 미치요,한림
476,숲속의 숨바꼭질,수에요시 아키코,한림
477,웃놀이 이야기,이은하,한림
478,사시사철 우리놀이 우리문화,백희나,한솔수북
479,즐거운 비,서세옥,한솔수북
480,난 수학이 좋아요,"니콜라이 니콜라예비치, 노조프",햇빛출판사
481,도깨비가 된 허수아비,이준연,햇빛출판사
482,꽃지와 금붕어,편집부,헤밍웨이
483,달력 나라의 코흘리개 왕자,편집부,헤밍웨이
484,인형도 꿈을 꿀까,김학선,헤밍웨이
485,세 친구,파치 수비사레타,현암사
486,알록달록 과자의 비밀,여성희,현암사
487,짝 잃은 실내화,이완,현암사
488,내가 좋아하는 가축,유현미,호박꽃
489,꼬꼬닭 모자가 어때서?,제프 브럼보,홍성사
490,아주 특별한 모자,맥스 루케이도,홍성사
491,퀼트 할머니의 선물,제프 브럼보,홍성사
492,"니는 자랑스런 한국인 1,2,3",박보희,홍익출판사
493,줄타기 - 중요무형문화재 제 58호,"심우성, 최원진",화산문화
494,1.2학년 동시,엄기원,효리원
495,난 두목이 될 거야,박숙희,효리원
496,오줌지도,홍종의,효리원
497,짧은 동화 긴 생각,이구경,효리원
498,키가 작아도 괜찮아,유효진,효리원
499,환경 숙제(무엇이든지 물어보세요),어연미디어,효리원
500,내게는 소리를 듣지 못하는 여동생이 있습니다,J.W피터슨,히말라야
